Concession;Réseau;Ville;Organisme contrôle;Marque;Catégorie;Sous-catégorie;Modèle;N° de série;N° interne;Année;Observations en retard;En construction;Date dernier contrôle;Date prochain contrôle;Statut;Mise au rebut
CARTEN AUVERGNE;autosphere;ISSOIRE;Dekra Industrial;DEWET;Matériel d'atelier;Grue;Grue d'atelier 1.E;A.4342;GRUE 01;1968;;;24/03/2026;24/03/2027;Conforme;
ABCIS PYRENEES;autosphere;BILLERE;RAVAGLIOLI FRANCE;Ravaglioli;Matériel d'atelier;Grue;Grue d'atelier SANS;SANS;Grue 01;1970;;;15/07/2025;15/07/2026;Conforme;
CARTEN POITOU;autosphere;MONTMORILLON;Dekra Industrial;GRAZIA;Pont élévateur;Pont;Grue d'atelier GRU-0;3675;GRUE 01;1972;2;;27/11/2024;27/11/2025;Non conforme;
KEOS THONON;autosphere;;Dekra Industrial;DEWET;Matériel d'atelier;Grue;Grue d'atelier LE;6287;GRUE 03;1972;;;06/01/2026;06/01/2027;Conforme;
TECHSTAR SAS;autosphere;VERT SAINT DENIS;Dekra Industrial;SEFAC;Pont élévateur;4 colonnes;Pont élévateur 4 colonnes 2000 F;222;Pont 10;1976;;;;;Non conforme;
KEOS DUNKERQUE;autosphere;;Fog Automotive;Fog;Pont élévateur;2 colonnes;Pont élévateur à 2 colonnes à vis 447 AS;03033G77;PONT 07;1977;2;;18/03/2024;18/03/2025;Non conforme;
KEOS ENGLOS;autosphere;SEQUEDIN;Fog Automotive;Fog;Pont élévateur;Pont;Pont élévateur 4 colonnes 404 A;419780J79;PONT 08;1979;1;;16/01/2026;16/01/2027;Conforme;
KEOS ENGLOS;autosphere;SEQUEDIN;Fog Automotive;Fog;Pont élévateur;4 colonnes;Pont élévateur 4 colonnes à vérin 404 A;419780J79;PONT 08;1979;3;;09/01/2025;09/01/2026;Non conforme;
KEOS SALON-DE-PROVENCE;autosphere;;Facom;Colibri;Pont élévateur;Pont élévateur mobile;Pont élévateur mobile Inconnu;81122610;81122610;1981;4;;18/02/2026;18/02/2027;Conforme;
KEOS SALON-DE-PROVENCE;autosphere;;Facom;Colibri;Pont élévateur;Pont élévateur mobile;Pont élévateur mobile Inconnu;81122610;81122610;1981;2;Oui;06/02/2023;06/02/2024;Non conforme;
TECHSTAR OUEST;autosphere;SAINT JEAN D'ANGELY;Dekra Industrial;GRAZIA;Matériel d'atelier;Grue;GRUE D'ATELIER GRU-2;012591;GRU01;1981;1;;20/06/2024;20/06/2025;Non conforme;
BAYERN BORDEAUX BASSIN;autosphere;MERIGNAC;RAVAGLIOLI FRANCE;Ravaglioli;Matériel d'atelier;Grue;GRUE D'ATELIER SM5;3199;GRUE 02;1982;;;21/05/2025;21/05/2026;Conforme;
ELEGANZ PARIS;autosphere;PARIS;Fog Automotive;Fog;Pont élévateur;4 colonnes;Pont élévateur 4 colonnes 404 A;45524D82;Pont 01;1982;1;;14/09/2023;14/09/2024;Non conforme;
KEOS ST AVOLD FORBACH;autosphere;FORBACH;RAVAGLIOLI FRANCE;Ravaglioli;Outillage de levage;Vérin dépose d'organne;Vérin dépose organe KEA24;0363;VERIN 01;1982;;;05/11/2025;05/11/2026;Conforme;
KEOS ST AVOLD FORBACH;autosphere;ST AVOLD;RAVAGLIOLI FRANCE;Ravaglioli;Pont élévateur;Pont;Vérin dépose organe KEA24;0363;VERIN 01;1982;;;06/11/2024;06/11/2025;Non conforme;
MOTORCAR NORD;autosphere;BEAURAINS;RAVAGLIOLI FRANCE;Ravaglioli;Matériel d'atelier;Grue;Grue d'atelier SPS;5828;GRUE D ATELIER 01;1982;1;;02/03/2026;02/03/2027;Conforme;
MOTORCAR NORD;autosphere;PETITE FORET;RAVAGLIOLI FRANCE;Ravaglioli;Matériel d'atelier;Grue;Grue d'atelier SPS;5828;GRUE D ATELIER 01;1982;1;;03/03/2025;03/03/2026;Non conforme;
NYXO REIMS;autosphere;SAINT AVOLD;RAVAGLIOLI FRANCE;Ravaglioli;Pont élévateur;Pont;Vérin dépose organe KEA24;0363;VERIN 01;1982;;;06/11/2024;06/11/2025;Non conforme;
TECHSTAR OUEST;autosphere;CHAURAY;Dekra Industrial;GRAZIA;Matériel d'atelier;Grue;Grue atelier GRU 0;13767;Grue atelier 01;1982;2;;26/06/2025;26/06/2026;Conforme;
KEOS DUNKERQUE;autosphere;;Fog Automotive;Fog;Pont élévateur;2 colonnes;Pont élévateur à 2 colonnes à vis 4489512;5041L83;PONT 11;1983;;;06/10/2023;06/10/2024;Non conforme;
KEOS DUNKERQUE;autosphere;;Fog Automotive;Fog;Pont élévateur;2 colonnes;Pont élévateur à 2 colonnes à vis 4489512;5041L83;PONT 11';1983;;;18/03/2024;18/03/2025;Non conforme;
KEOS ST AVOLD FORBACH;autosphere;FORBACH;RAVAGLIOLI FRANCE;Ravaglioli;Outillage de levage;Vérin dépose d'organne;Vérin de dépose d'organe KEA24;0379;Vérin 03;1983;1;;15/10/2025;15/10/2026;Conforme;
KEOS DUNKERQUE;autosphere;;Fog Automotive;Fog;Pont élévateur;4 colonnes;Pont élévateur à 4 colonnes à verins 490;821;PONT 21;1984;6;;25/04/2024;25/04/2025;Non conforme;
KEOS ENGLOS;autosphere;SEQUEDIN;Facom;INCONNU;Gerbeur;Transpalette;Transpalette G/BV;INCONNU;TRANSPALETTE 01;1984;;;16/01/2026;16/01/2027;Conforme;
SIVAM;autosphere;DAGNEUX;RAVAGLIOLI FRANCE;Ravaglioli;Pont élévateur;2 colonnes;Pont élévateur 2 colonnes KP 126;0777;PONT 07;1984;2;;29/08/2025;29/08/2026;Conforme;
TECHSTAR MARNE LA VALLEE;autosphere;CHAMPS SUR MARNE;Fog Automotive;Fog;Pont élévateur;4 colonnes;Pont élévateur 4 colonnes 490;345A;Pont 05;1985;4;;07/08/2025;07/08/2026;Conforme;
ABCIS PROVENCE;autosphere;AIX EN PROVENCE;Fog Automotive;Fog;Pont élévateur;2 colonnes;Pont élévateur 2 colonnes 449;07136J86;Pont 19;1986;;;23/01/2024;23/01/2025;Non conforme;
KEOS NIEPPE;autosphere;HAZEBROUCK;Dekra Industrial;Mic;Gerbeur;Transpalette;Transpalette TM2000;Inconnu;TRANSPALETTE 01;1986;;;16/02/2026;16/02/2027;Conforme;
KEOS SOISSONS VILLERS;autosphere;VILLERS-COTTERET;Dekra Industrial;Fenwick;Gerbeur;Transpalette;Transpalette TM20 54-115;20/21372;EDT TRANSPALETTE 01;1986;;;18/12/2025;18/12/2026;Conforme;
KEOS VITRY-SUR-SEINE;autosphere;VITRY SUR SEINE;Fog Automotive;Fog;Pont élévateur;2 colonnes;Pont élévateur à 2 colonnes à vis 449;6948;Pont 02;1986;3;Oui;03/07/2025;03/07/2026;Conforme;
